,"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
258,"Bautista, Félix",642585,BAL,FF,4-Seam Fastball,2.4,17,696,70.4,157,0.157,0.246,0.258,37.8,37.6,32.6,0.173,0.3,0.274,34.7
259,"Curry, Xzavion",675540,CLE,SL,Slider,0.3,2,539,36.1,156,0.238,0.361,0.276,23.2,17.9,16.8,0.259,0.432,0.31,40.5
260,"Santos, Gregory",666619,CWS,SL,Slider,3.1,17,551,52.6,156,0.196,0.203,0.223,37.5,30.8,26.7,0.203,0.257,0.224,29.0
261,"Vesia, Alex",681911,LAD,FF,4-Seam Fastball,0.2,1,581,68.1,155,0.273,0.42,0.335,28.1,28.4,23.7,0.233,0.392,0.299,43.4
262,"Farmer, Buck",571656,CIN,FF,4-Seam Fastball,0.2,1,526,43.0,155,0.242,0.477,0.352,17.3,17.4,17.8,0.243,0.468,0.346,41.3
263,"Matz, Steven",571927,STL,CH,Changeup,0.4,2,511,27.4,155,0.291,0.405,0.326,28.9,21.9,16.5,0.268,0.39,0.301,36.0
264,"Pagán, Emilio",641941,MIN,FF,4-Seam Fastball,1.3,7,584,55.0,155,0.188,0.326,0.265,24.6,28.4,24.3,0.209,0.415,0.306,47.9
265,"Wacha, Michael",608379,SD,FF,4-Seam Fastball,1.8,12,639,28.8,155,0.188,0.323,0.282,16.7,22.6,16.7,0.247,0.447,0.347,46.5
266,"Wheeler, Zack",554430,PHI,SI,Sinker,1.0,6,571,18.1,155,0.252,0.308,0.282,19.2,18.1,19.2,0.246,0.292,0.271,28.7
267,"Wainwright, Adam",425794,STL,SI,Sinker,-4.1,-23,560,31.4,154,0.394,0.746,0.499,9.3,14.3,18.2,0.339,0.636,0.432,49.2
268,"Rogers, Tyler",643511,SF,SI,Sinker,1.3,7,575,51.2,154,0.284,0.397,0.323,11.4,9.7,11.4,0.277,0.355,0.301,33.3
269,"Castillo, Luis",622491,SEA,SL,Slider,0.3,2,710,22.1,154,0.234,0.455,0.311,37.8,33.1,25.1,0.21,0.355,0.261,39.6
270,"Rogers, Tyler",643511,SF,SL,Slider,0.3,2,549,48.8,153,0.187,0.338,0.27,33.4,29.4,23.9,0.162,0.258,0.224,19.8
271,"Harvey, Hunter",640451,WSH,FF,4-Seam Fastball,0.8,5,578,60.0,153,0.216,0.396,0.297,26.5,32.0,25.3,0.221,0.425,0.304,45.7
272,"Luzardo, Jesús",666200,MIA,CH,Changeup,-0.3,-2,626,21.0,153,0.248,0.429,0.347,36.1,21.6,18.1,0.223,0.381,0.308,28.4
273,"Mikolas, Miles",571945,STL,CU,Curveball,-0.8,-5,639,20.0,152,0.261,0.387,0.314,19.8,19.1,13.5,0.264,0.447,0.326,41.2
274,"Glasnow, Tyler",607192,TB,SL,Slider,0.9,6,659,34.8,152,0.254,0.373,0.305,38.2,19.1,28.4,0.274,0.483,0.347,43.9
275,"Strahm, Matt",621381,PHI,FF,4-Seam Fastball,1.3,8,616,45.1,152,0.187,0.374,0.271,31.3,39.5,28.0,0.18,0.343,0.263,43.8
276,"Lambert, Peter",663567,COL,FF,4-Seam Fastball,0.2,1,646,44.6,152,0.271,0.586,0.4,16.7,12.5,12.8,0.284,0.583,0.404,51.8
277,"Smith, Drew",622098,NYM,FF,4-Seam Fastball,1.3,8,662,61.2,152,0.169,0.339,0.304,24.1,25.0,17.3,0.199,0.385,0.327,44.3
278,"Moreta, Dauri",664294,PIT,SL,Slider,1.1,7,623,64.8,152,0.162,0.265,0.24,40.8,38.2,29.4,0.167,0.246,0.218,27.2
279,"Cano, Yennier",666974,BAL,SI,Sinker,3.0,17,562,55.3,151,0.237,0.345,0.289,13.2,11.3,16.3,0.256,0.342,0.296,43.9
280,"Manning, Matt",666159,DET,FF,4-Seam Fastball,1.3,7,563,47.6,151,0.214,0.366,0.294,18.2,23.2,19.9,0.261,0.479,0.353,52.5
281,"Williams, Devin",642207,MIL,CH,Changeup,2.6,14,549,57.9,151,0.097,0.187,0.21,42.2,37.7,30.8,0.151,0.254,0.231,24.7
282,"Castillo, Luis",622491,SEA,CH,Changeup,-1.9,-9,500,15.6,151,0.28,0.42,0.326,32.5,23.2,17.4,0.263,0.408,0.3,27.3
283,"Gibson, Kyle",502043,BAL,CH,Changeup,-0.4,-2,517,17.0,151,0.288,0.453,0.344,29.1,18.5,17.6,0.27,0.428,0.325,42.9
284,"Romano, Jordan",605447,TOR,SL,Slider,1.5,8,496,54.2,150,0.216,0.338,0.275,38.6,29.3,28.9,0.215,0.351,0.271,36.5
285,"Houck, Tanner",656557,BOS,SI,Sinker,-0.1,0,514,29.5,150,0.306,0.507,0.395,18.7,14.0,20.4,0.269,0.43,0.337,50.9
286,"Okert, Steven",595345,MIA,SL,Slider,1.1,7,625,61.3,150,0.194,0.373,0.281,34.3,34.0,26.2,0.18,0.346,0.266,36.5
287,"Canning, Griffin",656288,LAA,FF,4-Seam Fastball,-0.2,-1,726,33.3,150,0.235,0.5,0.342,28.3,26.7,19.0,0.243,0.513,0.348,48.5
288,"Bibee, Tanner",676440,CLE,SL,Slider,1.2,8,629,27.0,149,0.206,0.355,0.251,31.7,28.2,19.2,0.193,0.307,0.227,23.5
289,"Cuas, Jose",621016,CHC,SI,Sinker,0.9,5,585,49.7,149,0.302,0.381,0.367,17.0,12.1,15.9,0.302,0.459,0.383,41.7
