,"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
877,"Anderson, Grant",681982,TEX,SL,Slider,-0.1,0,299,50.0,74,0.246,0.348,0.288,20.0,14.9,14.7,0.207,0.33,0.26,25.9
878,"Yarbrough, Ryan",642232,LAD,CH,Changeup,-2.8,-7,260,18.3,74,0.329,0.6,0.414,27.7,8.1,6.3,0.346,0.619,0.415,26.2
879,"Hand, Brad",543272,ATL,FF,4-Seam Fastball,0.5,1,322,33.2,74,0.298,0.474,0.369,15.0,20.3,17.9,0.26,0.41,0.36,36.7
880,"Willingham, Amos",686294,WSH,FF,4-Seam Fastball,-1.3,-4,280,60.7,74,0.371,0.7,0.457,7.9,8.1,7.5,0.339,0.604,0.41,58.5
881,"Milner, Hoby",571948,MIL,ST,Sweeper,2.3,8,340,33.1,74,0.145,0.217,0.203,22.4,29.7,19.6,0.15,0.228,0.206,38.3
882,"Payamps, Joel",606303,MIL,FF,4-Seam Fastball,5.0,12,245,21.9,74,0.116,0.217,0.179,38.3,44.6,33.0,0.134,0.226,0.19,38.9
883,"Thompson, Zack",668868,STL,CU,Curveball,1.8,6,319,27.3,74,0.185,0.246,0.244,22.9,29.7,19.6,0.19,0.246,0.251,25.0
884,"Taillon, Jameson",592791,CHC,SI,Sinker,-0.3,-1,263,10.4,74,0.296,0.394,0.321,13.3,14.9,24.4,0.304,0.383,0.308,36.1
885,"Toussaint, Touki",657053,CWS,FS,Split-Finger,-0.1,0,302,18.9,74,0.188,0.348,0.272,32.4,28.4,19.3,0.246,0.415,0.309,41.7
886,"Bassitt, Chris",605135,TOR,FF,4-Seam Fastball,-3.2,-9,292,9.3,73,0.333,0.652,0.443,20.6,30.1,16.4,0.279,0.573,0.39,36.4
887,"Leiter Jr., Mark",643410,CHC,SI,Sinker,-0.3,-1,297,28.1,73,0.283,0.517,0.396,16.0,5.5,17.4,0.301,0.502,0.394,37.9
888,"Thompson, Ryan",657044,AZ,SI,Sinker,1.9,5,267,60.1,73,0.239,0.358,0.288,10.4,9.6,17.9,0.223,0.366,0.282,36.1
889,"Brasier, Ryan",518489,LAD,FF,4-Seam Fastball,-1.1,-4,328,36.4,73,0.297,0.469,0.392,25.0,27.4,16.8,0.262,0.443,0.348,47.7
890,"Burnes, Corbin",669203,MIL,SL,Slider,0.4,1,263,8.5,73,0.159,0.275,0.214,43.8,38.4,22.2,0.193,0.293,0.235,31.7
891,"Williams, Devin",642207,MIL,FF,4-Seam Fastball,1.0,4,371,39.1,73,0.177,0.274,0.271,41.8,41.1,31.3,0.2,0.344,0.299,46.9
892,"Gilbert, Logan",669302,SEA,CU,Curveball,-0.6,-2,392,13.4,73,0.214,0.371,0.274,30.6,17.8,14.6,0.29,0.466,0.332,36.2
893,"Abbott, Andrew",671096,CIN,ST,Sweeper,1.1,4,313,16.5,73,0.174,0.304,0.221,29.0,27.4,17.9,0.146,0.231,0.181,26.0
894,"Adam, Jason",592094,TB,FF,4-Seam Fastball,0.2,1,303,33.4,73,0.246,0.541,0.389,33.5,30.1,22.7,0.247,0.561,0.395,61.5
